GN_ID,Name,Identifier,Description,Latitude,Longitude,Type,State,FIPS,County,Region,Topo
4194665,Finger Lake,,,31.01773,-82.19485,LK,GA,25,Brantley,Georgia Coast
4194721,First African Church,,,31.24467,-81.77567,CH,GA,25,Brantley,Georgia Coast
4194753,First Baptist Church,,,31.20633,-81.9815,CH,GA,25,Brantley,Georgia Coast
4195228,Five Points Reach,,,31.2855,-81.91595,CHN,GA,25,Brantley,Georgia Coast
4195255,Flanders Shady Bluff,,,31.15773,-81.85817,CLF,GA,25,Brantley,Georgia Coast
4195373,Flat Wood Bluff Reach,,,31.26272,-81.86678,CHN,GA,25,Brantley,Georgia Coast
4195392,Flatwoods Bluff,,,31.26383,-81.86928,CLF,GA,25,Brantley,Georgia Coast
4195518,Flowers Island,,,31.33939,-81.76011,ISL,GA,25,Brantley,Georgia Coast
4195795,Forked Lake,,,31.2545,-81.86727,LK,GA,25,Brantley,Georgia Coast
4195798,Fort Camp Branch,,,31.22316,-82.07199,SWMP,GA,25,Brantley,Georgia Coast
4195849,Fort Mudge,,,31.06439,-82.18651,PPL,GA,25,Brantley,Georgia Coast
4196031,Fox Head,,,31.29661,-81.78317,SWMP,GA,25,Brantley,Georgia Coast
4196827,Gator Lake,,,31.16941,-81.87977,LK,GA,25,Brantley,Georgia Coast
4196830,Gator Slough,,,31.26383,-81.86456,INLT,GA,25,Brantley,Georgia Coast
4197060,Gibson Cemetery,,,31.23911,-81.78178,CMTY,GA,25,Brantley,Georgia Coast
4197759,Grace Church,,,31.16217,-81.99178,CH,GA,25,Brantley,Georgia Coast
4197955,Grayham Cemetery,,,31.29606,-81.76289,CMTY,GA,25,Brantley,Georgia Coast
4198581,Gum Slough,,,31.03967,-82.15123,INLT,GA,25,Brantley,Georgia Coast
4199084,Happy Hollow,,,31.25245,-81.85511,VAL,GA,25,Brantley,Georgia Coast
4199121,Happy Landing,,,31.16328,-81.8565,PPL,GA,25,Brantley,Georgia Coast
4199333,Harper Branch,,,31.28161,-81.869,STM,GA,25,Brantley,Georgia Coast
4199809,Heads Lake,,,31.24721,-81.85956,LK,GA,25,Brantley,Georgia Coast
4200280,Hickox,,,31.1505,-81.9965,PPL,GA,25,Brantley,Georgia Coast
4200281,Hickox Baptist Church,,,31.14967,-82.00067,CH,GA,25,Brantley,Georgia Coast
4200340,Higans Bluff,,,31.2155,-82.22429,CLF,GA,25,Brantley,Georgia Coast
4200357,High Bluff Church,,,31.15883,-82.18679,CH,GA,25,Brantley,Georgia Coast
4200461,Highsmith Cemetery,,,31.22939,-81.78206,CMTY,GA,25,Brantley,Georgia Coast
4200749,Hoboken,,,31.18106,-82.13484,PPL,GA,25,Brantley,Georgia Coast
4200750,Hoboken Baptist Church,,,31.18078,-82.13067,CH,GA,25,Brantley,Georgia Coast
4200751,Hoboken Elementary School,,,31.18693,-82.13024,SCH,GA,25,Brantley,Georgia Coast
4201166,Honey Bluff,,,31.23245,-81.86956,CLF,GA,25,Brantley,Georgia Coast
4201234,Hope Chapel,,,31.22189,-81.85206,CH,GA,25,Brantley,Georgia Coast
4201443,Hortense,,,31.33661,-81.95623,PPL,GA,25,Brantley,Georgia Coast
4201444,Hortense Church,,,31.338,-81.95261,CH,GA,25,Brantley,Georgia Coast
